# Frequenz Spannung	Spannung_min	Spannung_max	Gain
100	65	65	65	1
70	47.4	46.3	47.2
50	1065	1063	1070	5
20	454	452	457
15	339	338	342
10	224	222	226
7	608	605	621	10
5	435	428	436
3	254	250	258
1.5	558	550	560	20
1	362	360	364
0.7	250	248	255
0.5	1140	1130	1152	50
0.2	525	511	545
0.1	645	625	657
0.07	153	146	158	20
0.02	910	900	920
0.015	1930	1900	1990
0.01	940	900	960	10
0.06	150	146	153	20
0.03	480	478	485
0.04	290	286	294
120	1966	1960	1972	50
140	355	354	356	20
180	389	387	390
200	473	472	475
280	553	551	555
240	537	533	538
300	623	621	625
360	581	580	584
400	550	548	550
460	545	543	550
