#x-axis	2
#second	Volt
-153.000E-03	-128.653E-03
-152.000E-03	-128.653E-03
-151.000E-03	-73.980E-03
-150.000E-03	-73.980E-03
-149.000E-03	-73.980E-03
-148.000E-03	-73.980E-03
-147.000E-03	-73.980E-03
-146.000E-03	-73.980E-03
-145.000E-03	-73.980E-03
-144.000E-03	-73.980E-03
-143.000E-03	-73.980E-03
-142.000E-03	-73.980E-03
-141.000E-03	-73.980E-03
-140.000E-03	-73.980E-03
-139.000E-03	-77.397E-03
-138.000E-03	-128.653E-03
-137.000E-03	-73.980E-03
-136.000E-03	-73.980E-03
-135.000E-03	-73.980E-03
-134.000E-03	-73.980E-03
-133.000E-03	-73.980E-03
-132.000E-03	-77.397E-03
-131.000E-03	-128.653E-03
-130.000E-03	-73.980E-03
-129.000E-03	-128.653E-03
-128.000E-03	-73.980E-03
-127.000E-03	-73.980E-03
-126.000E-03	-73.980E-03
-125.000E-03	-73.980E-03
-124.000E-03	-73.980E-03
-123.000E-03	-73.980E-03
-122.000E-03	-22.724E-03
-121.000E-03	-73.980E-03
-120.000E-03	-73.980E-03
-119.000E-03	-73.980E-03
-118.000E-03	-73.980E-03
-117.000E-03	-73.980E-03
-116.000E-03	-73.980E-03
-115.000E-03	-73.980E-03
-114.000E-03	-73.980E-03
-113.000E-03	-73.980E-03
-112.000E-03	-128.653E-03
-111.000E-03	-73.980E-03
-110.000E-03	-77.397E-03
-109.000E-03	-77.397E-03
-108.000E-03	-73.980E-03
-107.000E-03	-73.980E-03
-106.000E-03	-73.980E-03
-105.000E-03	-73.980E-03
-104.000E-03	-73.980E-03
-103.000E-03	-73.980E-03
-102.000E-03	-77.397E-03
-101.000E-03	-77.397E-03
-100.000E-03	-77.397E-03
-99.000E-03	-73.980E-03
-98.000E-03	-73.980E-03
-97.000E-03	-73.980E-03
-96.000E-03	-73.980E-03
-95.000E-03	-128.653E-03
-94.000E-03	-73.980E-03
-93.000E-03	-128.653E-03
-92.000E-03	-73.980E-03
-91.000E-03	-73.980E-03
-90.000E-03	-73.980E-03
-89.000E-03	-73.980E-03
-88.000E-03	-73.980E-03
-87.000E-03	-73.980E-03
-86.000E-03	-77.397E-03
-85.000E-03	-73.980E-03
-84.000E-03	-77.397E-03
-83.000E-03	-73.980E-03
-82.000E-03	-73.980E-03
-81.000E-03	-73.980E-03
-80.000E-03	-128.653E-03
-79.000E-03	-77.397E-03
-78.000E-03	-73.980E-03
-77.000E-03	-73.980E-03
-76.000E-03	-128.653E-03
-75.000E-03	-128.653E-03
-74.000E-03	-73.980E-03
-73.000E-03	-73.980E-03
-72.000E-03	-73.980E-03
-71.000E-03	-73.980E-03
-70.000E-03	-73.980E-03
-69.000E-03	-73.980E-03
-68.000E-03	-73.980E-03
-67.000E-03	-73.980E-03
-66.000E-03	-73.980E-03
-65.000E-03	-73.980E-03
-64.000E-03	-73.980E-03
-63.000E-03	-128.653E-03
-62.000E-03	-73.980E-03
-61.000E-03	-73.980E-03
-60.000E-03	-73.980E-03
-59.000E-03	-73.980E-03
-58.000E-03	-73.980E-03
-57.000E-03	-73.980E-03
-56.000E-03	-73.980E-03
-55.000E-03	-77.397E-03
-54.000E-03	-77.397E-03
-53.000E-03	-128.653E-03
-52.000E-03	-73.980E-03
-51.000E-03	-73.980E-03
-50.000E-03	-73.980E-03
-49.000E-03	-77.397E-03
-48.000E-03	-73.980E-03
-47.000E-03	-128.653E-03
-46.000E-03	-73.980E-03
-45.000E-03	-73.980E-03
-44.000E-03	-73.980E-03
-43.000E-03	-73.980E-03
-42.000E-03	-128.653E-03
-41.000E-03	-73.980E-03
-40.000E-03	-73.980E-03
-39.000E-03	-73.980E-03
-38.000E-03	-73.980E-03
-37.000E-03	-73.980E-03
-36.000E-03	-73.980E-03
-35.000E-03	-73.980E-03
-34.000E-03	-22.724E-03
-33.000E-03	-73.980E-03
-32.000E-03	-73.980E-03
-31.000E-03	-77.397E-03
-30.000E-03	-73.980E-03
-29.000E-03	-73.980E-03
-28.000E-03	-73.980E-03
-27.000E-03	-73.980E-03
-26.000E-03	-77.397E-03
-25.000E-03	-73.980E-03
-24.000E-03	-73.980E-03
-23.000E-03	-128.653E-03
-22.000E-03	-73.980E-03
-21.000E-03	-73.980E-03
-20.000E-03	-73.980E-03
-19.000E-03	-73.980E-03
-18.000E-03	-73.980E-03
-17.000E-03	-73.980E-03
-16.000E-03	-73.980E-03
-15.000E-03	-73.980E-03
-14.000E-03	-73.980E-03
-13.000E-03	-73.980E-03
-12.000E-03	-128.653E-03
-11.000E-03	-73.980E-03
-10.000E-03	-73.980E-03
-9.000E-03	-73.980E-03
-8.000E-03	-73.980E-03
-7.000E-03	-73.980E-03
-6.000E-03	-73.980E-03
-5.000E-03	-73.980E-03
-4.000E-03	-128.653E-03
-3.000E-03	-73.980E-03
-2.000E-03	-73.980E-03
-1.000E-03	-73.980E-03
+0.0E+00	+582.100E-03
+1.000E-03	+2.601598E+00
+2.000E-03	+852.050E-03
+3.000E-03	+250.643E-03
+4.000E-03	-22.724E-03
+5.000E-03	-132.070E-03
+6.000E-03	-238.000E-03
+7.000E-03	-183.327E-03
+8.000E-03	-73.980E-03
+9.000E-03	-128.653E-03
+10.000E-03	-183.327E-03
+11.000E-03	-186.744E-03
+12.000E-03	-128.653E-03
+13.000E-03	+90.040E-03
+14.000E-03	+527.427E-03
+15.000E-03	+1.839588E+00
+16.000E-03	+4.682603E+00
+17.000E-03	+1.945518E+00
+18.000E-03	+469.337E-03
+19.000E-03	+35.367E-03
+20.000E-03	-183.327E-03
+21.000E-03	-238.000E-03
+22.000E-03	-238.000E-03
+23.000E-03	-183.327E-03
+24.000E-03	-183.327E-03
+25.000E-03	-238.000E-03
+26.000E-03	-186.744E-03
+27.000E-03	-238.000E-03
+28.000E-03	-183.327E-03
+29.000E-03	-19.307E-03
+30.000E-03	+472.754E-03
+31.000E-03	+2.222301E+00
+32.000E-03	+4.515166E+00
+33.000E-03	+1.726824E+00
+34.000E-03	+524.010E-03
+35.000E-03	+35.367E-03
+36.000E-03	-128.653E-03
+37.000E-03	-186.744E-03
+38.000E-03	-238.000E-03
+39.000E-03	-128.653E-03
+40.000E-03	-22.724E-03
+41.000E-03	-183.327E-03
+42.000E-03	-238.000E-03
+43.000E-03	-183.327E-03
+44.000E-03	-73.980E-03
+45.000E-03	+195.970E-03
+46.000E-03	+746.121E-03
+47.000E-03	+2.933055E+00
+48.000E-03	+3.913759E+00
+49.000E-03	+1.180090E+00
+50.000E-03	+254.060E-03
+51.000E-03	-19.307E-03
+52.000E-03	-183.327E-03
+53.000E-03	-238.000E-03
+54.000E-03	-238.000E-03
+55.000E-03	-238.000E-03
+56.000E-03	-238.000E-03
+57.000E-03	-238.000E-03
+58.000E-03	-238.000E-03
+59.000E-03	-238.000E-03
+60.000E-03	-128.653E-03
+61.000E-03	+144.714E-03
+62.000E-03	+855.467E-03
+63.000E-03	+3.589136E+00
+64.000E-03	+3.203005E+00
+65.000E-03	+1.016070E+00
+66.000E-03	+254.060E-03
+67.000E-03	-19.307E-03
+68.000E-03	-132.070E-03
+69.000E-03	-186.744E-03
+70.000E-03	-183.327E-03
+71.000E-03	-19.307E-03
+72.000E-03	-73.980E-03
+73.000E-03	-186.744E-03
+74.000E-03	-183.327E-03
+75.000E-03	-128.653E-03
+76.000E-03	+35.367E-03
+77.000E-03	+308.734E-03
+78.000E-03	+1.292854E+00
+79.000E-03	+4.190543E+00
+80.000E-03	+2.492251E+00
+81.000E-03	+636.774E-03
+82.000E-03	+90.040E-03
+83.000E-03	-128.653E-03
+84.000E-03	-186.744E-03
+85.000E-03	-238.000E-03
+86.000E-03	-238.000E-03
+87.000E-03	-186.744E-03
+88.000E-03	-238.000E-03
+89.000E-03	-238.000E-03
+90.000E-03	-238.000E-03
+91.000E-03	-183.327E-03
+92.000E-03	-19.307E-03
+93.000E-03	+363.407E-03
+94.000E-03	+1.620894E+00
+95.000E-03	+4.409236E+00
+96.000E-03	+2.000191E+00
+97.000E-03	+527.427E-03
+98.000E-03	+90.040E-03
+99.000E-03	-128.653E-03
+100.000E-03	-183.327E-03
+101.000E-03	-238.000E-03
+102.000E-03	-128.653E-03
+103.000E-03	+35.367E-03
+104.000E-03	-128.653E-03
+105.000E-03	-183.327E-03
+106.000E-03	-186.744E-03
+107.000E-03	-128.653E-03
+108.000E-03	+35.367E-03
+109.000E-03	+527.427E-03
+110.000E-03	+2.276975E+00
+111.000E-03	+4.077779E+00
+112.000E-03	+1.453457E+00
+113.000E-03	+363.407E-03
+114.000E-03	-19.307E-03
+115.000E-03	-183.327E-03
+116.000E-03	-238.000E-03
+117.000E-03	-238.000E-03
+118.000E-03	-238.000E-03
+119.000E-03	-238.000E-03
+120.000E-03	-238.000E-03
+121.000E-03	-238.000E-03
+122.000E-03	-183.327E-03
+123.000E-03	-73.980E-03
+124.000E-03	+90.040E-03
+125.000E-03	+636.774E-03
+126.000E-03	+2.769035E+00
+127.000E-03	+3.749739E+00
+128.000E-03	+1.180090E+00
+129.000E-03	+308.734E-03
+130.000E-03	+31.950E-03
+131.000E-03	-183.327E-03
+132.000E-03	-238.000E-03
+133.000E-03	-183.327E-03
+134.000E-03	-73.980E-03
+135.000E-03	-22.724E-03
+136.000E-03	-132.070E-03
+137.000E-03	-238.000E-03
+138.000E-03	-183.327E-03
