#x-axis,1,2
#second,Volt,Volt
-2.5000000E-03,-44.6884562E-03,+384.4221332E-03
-2.4997500E-03,-45.1909688E-03,+329.1457519E-03
-2.4995000E-03,-41.6733809E-03,+399.4975099E-03
-2.4992500E-03,-33.6331800E-03,+409.5477611E-03
-2.4990000E-03,-33.6331800E-03,+384.4221332E-03
-2.4987500E-03,-29.1105669E-03,+329.1457519E-03
-2.4985000E-03,-25.5929790E-03,+329.1457519E-03
-2.4982500E-03,-33.1306674E-03,+329.1457519E-03
-2.4980000E-03,-25.5929790E-03,+329.1457519E-03
-2.4977500E-03,-25.5929790E-03,+329.1457519E-03
-2.4975000E-03,-25.5929790E-03,+329.1457519E-03
-2.4972500E-03,-25.0904665E-03,+329.1457519E-03
-2.4970000E-03,-20.5678535E-03,+304.0201240E-03
-2.4967500E-03,-21.0703660E-03,+248.7437427E-03
-2.4965000E-03,-24.5879539E-03,+248.7437427E-03
-2.4962500E-03,-17.5527781E-03,+248.7437427E-03
-2.4960000E-03,-17.5527781E-03,+223.6181148E-03
-2.4957500E-03,-13.0301651E-03,+218.5929893E-03
-2.4955000E-03,-16.5477530E-03,+183.4171102E-03
-2.4952500E-03,-17.5527781E-03,+103.0151010E-03
-2.4950000E-03,-15.0402153E-03,+248.7437427E-03
-2.4947500E-03,-14.5377028E-03,+158.2914824E-03
-2.4945000E-03,-11.0201149E-03,+158.2914824E-03
-2.4942500E-03,-10.5176023E-03,+97.9899755E-03
-2.4940000E-03,-15.0402153E-03,+143.2161056E-03
-2.4937500E-03,-9.5125772E-03,+87.9397243E-03
-2.4935000E-03,-9.5125772E-03,+87.9397243E-03
-2.4932500E-03,-2.9799140E-03,+87.9397243E-03
-2.4930000E-03,-12.5276526E-03,+87.9397243E-03
-2.4927500E-03,-1.4723763E-03,+42.7135942E-03
-2.4925000E-03,-1.4723763E-03,+77.8894732E-03
-2.4922500E-03,+6.5678246E-03,+82.9145988E-03
-2.4920000E-03,+3.5527493E-03,+7.5377151E-03
-2.4917500E-03,-1.4723763E-03,+57.7889709E-03
-2.4915000E-03,-1.4723763E-03,-42.7135406E-03
-2.4912500E-03,+5.0602870E-03,+2.5125896E-03
-2.4910000E-03,-7.0000144E-03,-72.8642941E-03
-2.4907500E-03,-1.4723763E-03,-72.8642941E-03
-2.4905000E-03,-8.5075521E-03,-72.8642941E-03
-2.4902500E-03,+6.5678246E-03,-72.8642941E-03
-2.4900000E-03,+3.5527493E-03,-72.8642941E-03
-2.4897500E-03,+7.5728497E-03,-72.8642941E-03
-2.4895000E-03,+14.6080256E-03,-138.1909265E-03
-2.4892500E-03,+14.6080256E-03,-77.8894196E-03
-2.4890000E-03,+17.1205883E-03,-123.1155498E-03
-2.4887500E-03,+17.6231009E-03,-118.0904242E-03
-2.4885000E-03,+14.6080256E-03,-153.2663032E-03
-2.4882500E-03,+15.1105381E-03,-153.2663032E-03
-2.4880000E-03,+22.6482265E-03,-153.2663032E-03
-2.4877500E-03,+17.6231009E-03,-153.2663032E-03
-2.4875000E-03,+21.1406888E-03,-153.2663032E-03
-2.4872500E-03,+22.6482265E-03,-158.2914288E-03
-2.4870000E-03,+25.1607893E-03,-258.7939403E-03
-2.4867500E-03,+30.6884274E-03,-263.8190659E-03
-2.4865000E-03,+30.6884274E-03,-233.6683124E-03
-2.4862500E-03,+30.6884274E-03,-158.2914288E-03
-2.4860000E-03,+27.6733520E-03,-258.7939403E-03
-2.4857500E-03,+22.6482265E-03,-263.8190659E-03
-2.4855000E-03,+29.1808897E-03,-298.9949449E-03
-2.4852500E-03,+30.6884274E-03,-314.0703216E-03
-2.4850000E-03,+30.6884274E-03,-283.9195682E-03
-2.4847500E-03,+30.6884274E-03,-278.8944426E-03
-2.4845000E-03,+37.2210906E-03,-314.0703216E-03
-2.4842500E-03,+38.7286283E-03,-243.7185636E-03
-2.4840000E-03,+38.7286283E-03,-364.3215774E-03
-2.4837500E-03,+38.7286283E-03,-314.0703216E-03
-2.4835000E-03,+45.2612916E-03,-379.3969541E-03
-2.4832500E-03,+46.7688292E-03,-394.4723308E-03
-2.4830000E-03,+43.7537539E-03,-394.4723308E-03
-2.4827500E-03,+38.7286283E-03,-394.4723308E-03
-2.4825000E-03,+45.2612916E-03,-394.4723308E-03
-2.4822500E-03,+39.2311409E-03,-399.4974564E-03
-2.4820000E-03,+49.2813920E-03,-444.7235866E-03
-2.4817500E-03,+54.8090301E-03,-394.4723308E-03
-2.4815000E-03,+54.8090301E-03,-394.4723308E-03
-2.4812500E-03,+47.2713418E-03,-399.4974564E-03
-2.4810000E-03,+54.8090301E-03,-474.8743400E-03
-2.4807500E-03,+54.8090301E-03,-520.1004702E-03
-2.4805000E-03,+54.8090301E-03,-555.2763492E-03
-2.4802500E-03,+61.8442059E-03,-479.8994656E-03
-2.4800000E-03,+54.8090301E-03,-555.2763492E-03
-2.4797500E-03,+54.8090301E-03,-555.2763492E-03
-2.4795000E-03,+54.8090301E-03,-555.2763492E-03
-2.4792500E-03,+55.3115427E-03,-560.3014748E-03
-2.4790000E-03,+62.8492311E-03,-635.6783584E-03
-2.4787500E-03,+62.8492311E-03,-635.6783584E-03
-2.4785000E-03,+62.8492311E-03,-565.3266003E-03
-2.4782500E-03,+69.8844069E-03,-635.6783584E-03
-2.4780000E-03,+65.3617939E-03,-635.6783584E-03
-2.4777500E-03,+65.8643064E-03,-635.6783584E-03
-2.4775000E-03,+62.8492311E-03,-635.6783584E-03
-2.4772500E-03,+63.3517436E-03,-706.0301164E-03
-2.4770000E-03,+70.8894320E-03,-635.6783584E-03
-2.4767500E-03,+70.8894320E-03,-680.9044885E-03
-2.4765000E-03,+70.8894320E-03,-716.0803676E-03
-2.4762500E-03,+71.8944571E-03,-640.7034840E-03
-2.4760000E-03,+83.9547585E-03,-716.0803676E-03
-2.4757500E-03,+78.9296329E-03,-716.0803676E-03
-2.4755000E-03,+65.3617939E-03,-781.4070000E-03
-2.4752500E-03,+71.3919445E-03,-866.8341348E-03
-2.4750000E-03,+78.9296329E-03,-796.4823768E-03
-2.4747500E-03,+78.9296329E-03,-796.4823768E-03
-2.4745000E-03,+71.8944571E-03,-796.4823768E-03
-2.4742500E-03,+86.9698338E-03,-796.4823768E-03
-2.4740000E-03,+86.9698338E-03,-796.4823768E-03
-2.4737500E-03,+86.9698338E-03,-841.7085069E-03
-2.4735000E-03,+79.9346580E-03,-806.5326279E-03
-2.4732500E-03,+79.4321455E-03,-866.8341348E-03
-2.4730000E-03,+86.9698338E-03,-821.6080046E-03
-2.4727500E-03,+86.9698338E-03,-876.8843859E-03
-2.4725000E-03,+93.5024971E-03,-806.5326279E-03
-2.4722500E-03,+95.0100347E-03,-876.8843859E-03
-2.4720000E-03,+95.0100347E-03,-902.0100138E-03
-2.4717500E-03,+89.9849092E-03,-957.2863951E-03
-2.4715000E-03,+93.5024971E-03,-957.2863951E-03
-2.4712500E-03,+95.0100347E-03,-957.2863951E-03
-2.4710000E-03,+95.0100347E-03,-957.2863951E-03
-2.4707500E-03,+99.5326478E-03,-957.2863951E-03
-2.4705000E-03,+103.0502357E-03,-957.2863951E-03
-2.4702500E-03,+95.5125473E-03,-1.0376884043E+00
-2.4700000E-03,+103.0502357E-03,-1.0075376509E+00
-2.4697500E-03,+103.0502357E-03,-957.2863951E-03
-2.4695000E-03,+96.0150599E-03,-1.0226130276E+00
-2.4692500E-03,+103.0502357E-03,-1.0376884043E+00
-2.4690000E-03,+105.5627984E-03,-1.0075376509E+00
-2.4687500E-03,+111.0904366E-03,-1.0025125253E+00
-2.4685000E-03,+104.0552608E-03,-1.1030150368E+00
-2.4682500E-03,+111.0904366E-03,-1.1180904135E+00
-2.4680000E-03,+111.0904366E-03,-1.0879396601E+00
-2.4677500E-03,+115.6130496E-03,-1.0829145345E+00
-2.4675000E-03,+112.0954617E-03,-1.1180904135E+00
-2.4672500E-03,+111.0904366E-03,-1.0427135299E+00
-2.4670000E-03,+111.0904366E-03,-1.1180904135E+00
-2.4667500E-03,+115.6130496E-03,-1.1180904135E+00
-2.4665000E-03,+125.6633007E-03,-1.1180904135E+00
-2.4662500E-03,+111.5929491E-03,-1.1231155391E+00
-2.4660000E-03,+119.1306375E-03,-1.1984924227E+00
-2.4657500E-03,+123.6532505E-03,-1.1984924227E+00
-2.4655000E-03,+120.1356626E-03,-1.1281406647E+00
-2.4652500E-03,+119.1306375E-03,-1.1281406647E+00
-2.4650000E-03,+119.1306375E-03,-1.2487436784E+00
-2.4647500E-03,+119.1306375E-03,-1.1984924227E+00
-2.4645000E-03,+125.6633007E-03,-1.1984924227E+00
-2.4642500E-03,+127.1708384E-03,-1.2688441807E+00
-2.4640000E-03,+124.1557631E-03,-1.2487436784E+00
-2.4637500E-03,+123.6532505E-03,-1.3090451853E+00
-2.4635000E-03,+127.1708384E-03,-1.2085426738E+00
-2.4632500E-03,+127.6733510E-03,-1.2788944319E+00
-2.4630000E-03,+135.2110393E-03,-1.3040200598E+00
-2.4627500E-03,+130.1859138E-03,-1.3592964411E+00
-2.4625000E-03,+127.1708384E-03,-1.3592964411E+00
-2.4622500E-03,+127.6733510E-03,-1.3592964411E+00
-2.4620000E-03,+135.2110393E-03,-1.3592964411E+00
-2.4617500E-03,+135.2110393E-03,-1.3592964411E+00
-2.4615000E-03,+141.7437026E-03,-1.4246230735E+00
-2.4612500E-03,+142.2462151E-03,-1.3592964411E+00
-2.4610000E-03,+137.7236021E-03,-1.3844220689E+00
-2.4607500E-03,+138.2261147E-03,-1.4396984503E+00
-2.4605000E-03,+135.2110393E-03,-1.4396984503E+00
-2.4602500E-03,+142.2462151E-03,-1.4396984503E+00
-2.4600000E-03,+137.7236021E-03,-1.4396984503E+00
