#x-axis,1,2
#second,Volt,Volt
#+543.20000E-03,,
+543.22500E-03,-8.04020E-03,-452.26130E-03
+543.25000E-03,-8.04020E-03,-442.21105E-03
+543.27500E-03,-3.51759E-03,-439.69849E-03
+543.30000E-03,-8.04020E-03,-442.21105E-03
+543.32500E-03,-8.04020E-03,-442.21105E-03
+543.35000E-03,-7.53769E-03,-461.05527E-03
+543.37500E-03,-8.04020E-03,-432.16080E-03
+543.40000E-03,-8.04020E-03,-462.31155E-03
+543.42500E-03,-8.04020E-03,-442.21105E-03
+543.45000E-03,-8.04020E-03,-442.21105E-03
+543.47500E-03,+0.0E+00,-463.56783E-03
+543.50000E-03,+7.53769E-03,-461.05527E-03
+543.52500E-03,-4.02010E-03,-452.26130E-03
+543.55000E-03,-8.04020E-03,-462.31155E-03
+543.57500E-03,-8.04020E-03,-452.26130E-03
+543.60000E-03,+0.0E+00,-459.79899E-03
+543.62500E-03,+0.0E+00,-442.21105E-03
+543.65000E-03,-8.04020E-03,-442.21105E-03
+543.67500E-03,+0.0E+00,-442.21105E-03
+543.70000E-03,+0.0E+00,-442.21105E-03
+543.72500E-03,-8.04020E-03,-451.00502E-03
+543.75000E-03,-8.04020E-03,-461.05527E-03
+543.77500E-03,-4.02010E-03,-452.26130E-03
+543.80000E-03,+0.0E+00,-442.21105E-03
+543.82500E-03,-8.04020E-03,-451.00502E-03
+543.85000E-03,+0.0E+00,-442.21105E-03
+543.87500E-03,+0.0E+00,-442.21105E-03
+543.90000E-03,+0.0E+00,-442.21105E-03
+543.92500E-03,-3.51759E-03,-452.26130E-03
+543.95000E-03,+0.0E+00,-459.79899E-03
+543.97500E-03,-8.04020E-03,-442.21105E-03
+544.00000E-03,+0.0E+00,-461.05527E-03
+544.02500E-03,-8.04020E-03,-442.21105E-03
+544.05000E-03,-7.53769E-03,-461.05527E-03
+544.07500E-03,-4.02010E-03,-442.21105E-03
+544.10000E-03,+0.0E+00,-442.21105E-03
+544.12500E-03,-3.51759E-03,-442.21105E-03
+544.15000E-03,+0.0E+00,-442.21105E-03
+544.17500E-03,-8.04020E-03,-442.21105E-03
+544.20000E-03,-7.53769E-03,-442.21105E-03
+544.22500E-03,-4.02010E-03,-452.26130E-03
+544.25000E-03,+0.0E+00,-461.05527E-03
+544.27500E-03,+0.0E+00,-442.21105E-03
+544.30000E-03,-8.04020E-03,-442.21105E-03
+544.32500E-03,+0.0E+00,-430.90452E-03
+544.35000E-03,+0.0E+00,-442.21105E-03
+544.37500E-03,-8.04020E-03,-442.21105E-03
+544.40000E-03,-7.53769E-03,-442.21105E-03
+544.42500E-03,-3.51759E-03,-442.21105E-03
+544.45000E-03,-8.04020E-03,-442.21105E-03
+544.47500E-03,+0.0E+00,-442.21105E-03
+544.50000E-03,-8.04020E-03,-442.21105E-03
+544.52500E-03,-8.04020E-03,-442.21105E-03
+544.55000E-03,-16.08040E-03,-423.36683E-03
+544.57500E-03,+0.0E+00,-442.21105E-03
+544.60000E-03,-7.53769E-03,-442.21105E-03
+544.62500E-03,-3.51759E-03,-442.21105E-03
+544.65000E-03,-7.03518E-03,-442.21105E-03
+544.67500E-03,-8.04020E-03,-442.21105E-03
+544.70000E-03,+0.0E+00,-461.05527E-03
+544.72500E-03,-7.03518E-03,-451.00502E-03
+544.75000E-03,-8.04020E-03,-442.21105E-03
+544.77500E-03,-4.02010E-03,-451.00502E-03
+544.80000E-03,+0.0E+00,-440.95477E-03
+544.82500E-03,-4.02010E-03,-452.26130E-03
+544.85000E-03,-8.04020E-03,-462.31155E-03
+544.87500E-03,+0.0E+00,-452.26130E-03
+544.90000E-03,-8.04020E-03,-461.05527E-03
+544.92500E-03,-4.02010E-03,-442.21105E-03
+544.95000E-03,+0.0E+00,-459.79899E-03
+544.97500E-03,+0.0E+00,-452.26130E-03
+545.00000E-03,+0.0E+00,-442.21105E-03
+545.02500E-03,-4.02010E-03,-442.21105E-03
+545.05000E-03,-8.04020E-03,-442.21105E-03
+545.07500E-03,+0.0E+00,-442.21105E-03
+545.10000E-03,-7.53769E-03,-462.31155E-03
+545.12500E-03,-3.51759E-03,-432.16080E-03
+545.15000E-03,-8.04020E-03,-461.05527E-03
+545.17500E-03,-8.04020E-03,-442.21105E-03
+545.20000E-03,-7.53769E-03,-442.21105E-03
+545.22500E-03,-8.04020E-03,-452.26130E-03
+545.25000E-03,-8.04020E-03,-442.21105E-03
+545.27500E-03,-4.02010E-03,-432.16080E-03
+545.30000E-03,-7.53769E-03,-442.21105E-03
+545.32500E-03,-8.04020E-03,-452.26130E-03
+545.35000E-03,-8.04020E-03,-442.21105E-03
+545.37500E-03,-3.51759E-03,-442.21105E-03
+545.40000E-03,-8.04020E-03,-440.95477E-03
+545.42500E-03,-8.04020E-03,-442.21105E-03
+545.45000E-03,-8.04020E-03,-442.21105E-03
+545.47500E-03,-3.51759E-03,-452.26130E-03
+545.50000E-03,+0.0E+00,-461.05527E-03
+545.52500E-03,-8.04020E-03,-452.26130E-03
+545.55000E-03,-8.04020E-03,-442.21105E-03
+545.57500E-03,-3.51759E-03,-432.16080E-03
+545.60000E-03,-8.04020E-03,-461.05527E-03
+545.62500E-03,-11.55779E-03,-451.00502E-03
+545.65000E-03,-8.04020E-03,-442.21105E-03
+545.67500E-03,-8.04020E-03,-451.00502E-03
+545.70000E-03,-8.04020E-03,-422.11055E-03
+545.72500E-03,-8.04020E-03,-442.21105E-03
+545.75000E-03,-8.04020E-03,-422.11055E-03
+545.77500E-03,-8.04020E-03,-422.11055E-03
+545.80000E-03,-15.57789E-03,-440.95477E-03
+545.82500E-03,-8.04020E-03,-432.16080E-03
+545.85000E-03,-8.04020E-03,-440.95477E-03
+545.87500E-03,-8.04020E-03,-432.16080E-03
+545.90000E-03,-15.57789E-03,-422.11055E-03
+545.92500E-03,-16.08040E-03,-432.16080E-03
+545.95000E-03,-8.04020E-03,-440.95477E-03
+545.97500E-03,-16.08040E-03,-422.11055E-03
+546.00000E-03,-16.08040E-03,-440.95477E-03
+546.02500E-03,-20.10050E-03,-451.00502E-03
+546.05000E-03,-16.08040E-03,-442.21105E-03
